PredictionString,image_id
7 0.998166561126709 219.02938842773438 455.6300048828125 55.14566421508789 470.1922302246094 7 0.9964185953140259 601.6265258789062 948.7838745117188 522.7828979492188 1020.34912109375 7 0.9941514134407043 118.00577545166016 333.8384704589844 428.7281494140625 725.9802856445312 7 0.9896167516708374 583.9705200195312 877.3175659179688 325.1666259765625 611.7971801757812 7 0.9893291592597961 444.8504943847656 647.8341064453125 607.2685546875 877.1162109375 1 0.9769495129585266 558.3930053710938 785.3493041992188 109.7670669555664 368.85833740234375 7 0.9721550345420837 387.65625 600.2269287109375 203.0829315185547 546.9764404296875 7 0.9698390364646912 256.0802917480469 431.71038818359375 429.7945556640625 579.935546875 7 0.9078471064567566 557.973876953125 706.3729248046875 347.25933837890625 605.35546875 1 0.827182412147522 498.9533996582031 550.8739624023438 597.4437255859375 643.7280883789062 7 0.8220223188400269 319.2193603515625 383.3515625 565.8705444335938 620.6106567382812 5 0.8138004541397095 335.7614440917969 398.875732421875 642.9727783203125 724.7510986328125 1 0.6678636074066162 466.4700012207031 561.7880249023438 554.77734375 651.0753784179688 1 0.6480017900466919 432.13275146484375 564.4457397460938 467.3481140136719 683.0943603515625 1 0.5221830010414124 244.25335693359375 298.2891845703125 684.9058227539062 747.5719604492188 7 0.3777475655078888 395.5275573730469 462.19482421875 619.4623413085938 687.2266845703125 1 0.35259002447128296 54.825740814208984 161.08226013183594 438.16729736328125 619.9684448242188 1 0.3502524495124817 463.0920104980469 559.1334228515625 554.6146240234375 602.7162475585938 7 0.32606303691864014 162.3966827392578 246.1138153076172 371.0237121582031 443.97760009765625 0 0.3051144778728485 244.1470489501953 300.31744384765625 683.960205078125 748.4832153320312 ,test/0000.jpg
3 0.919633686542511 340.2513122558594 757.715087890625 265.1795959472656 702.8461303710938 3 0.8811070919036865 132.97776794433594 492.3490905761719 3.722109317779541 279.93511962890625 2 0.5286121964454651 343.7019348144531 752.4244995117188 260.1029968261719 694.1481323242188 0 0.479798823595047 754.4163818359375 896.0462036132812 657.5257568359375 990.2017211914062 ,test/0001.jpg
1 0.9743971824645996 289.17340087890625 997.43359375 291.0502624511719 746.6204223632812 1 0.9697722792625427 86.30438995361328 429.7063293457031 274.0881652832031 616.6482543945312 1 0.8907480239868164 781.919921875 1021.4853515625 431.2933349609375 1024.0 1 0.8893967866897583 677.470703125 1011.2997436523438 229.62843322753906 341.49603271484375 4 0.8719722628593445 866.711669921875 913.7958984375 246.30726623535156 323.41357421875 1 0.830361545085907 438.02984619140625 647.1152954101562 268.3362121582031 325.36248779296875 1 0.7683974504470825 333.1249084472656 999.632080078125 309.8955383300781 377.97125244140625 1 0.7417071461677551 993.4201049804688 1024.0 309.4590148925781 394.1378479003906 1 0.7133020758628845 346.8637390136719 800.3087158203125 422.60272216796875 746.6337890625 0 0.5716638565063477 655.287353515625 730.8487548828125 286.6486511230469 324.0269775390625 1 0.5234060883522034 99.62957763671875 290.9853210449219 312.3876037597656 604.4326171875 3 0.4990498721599579 0.0 155.2547607421875 237.09878540039062 479.3797912597656 1 0.4376145899295807 973.7890625 1023.2166748046875 232.99842834472656 247.0691375732422 1 0.43154627084732056 348.21636962890625 992.4937133789062 328.8588562011719 476.0747985839844 1 0.41097667813301086 0.0 170.73855590820312 229.2028045654297 470.19000244140625 0 0.37957829236984253 261.1227722167969 307.5110778808594 278.4562072753906 423.88665771484375 0 0.3682834208011627 325.4211730957031 1024.0 329.2483825683594 393.7469787597656 1 0.3601970374584198 751.259521484375 905.1148071289062 233.61126708984375 325.9724426269531 1 0.3157369792461395 820.278564453125 1018.5020141601562 230.4862060546875 388.3052673339844 ,test/0002.jpg
9 0.98899906873703 166.99288940429688 883.6703491210938 278.78338623046875 818.2362060546875 9 0.9536041617393494 0.0 292.9696960449219 371.23382568359375 1019.0447387695312 9 0.8986270427703857 223.41757202148438 1024.0 708.9886474609375 1023.5485229492188 9 0.7372951507568359 13.82167911529541 1024.0 0.0 479.15771484375 9 0.6878100037574768 0.45329099893569946 313.39324951171875 35.54323959350586 888.344482421875 9 0.5260990262031555 23.72425651550293 572.2601318359375 124.0853500366211 991.911376953125 ,test/0003.jpg
9 0.5510952472686768 443.4324951171875 658.4928588867188 411.1393737792969 572.541259765625 9 0.5265870690345764 219.0052947998047 865.3014526367188 395.6827697753906 761.5643310546875 0 0.4545861780643463 205.71847534179688 891.8004760742188 375.18157958984375 766.6118774414062 1 0.40668347477912903 200.76695251464844 865.150390625 328.2647705078125 777.7102661132812 0 0.37632715702056885 432.2887878417969 666.7018432617188 413.8230895996094 576.342529296875 0 0.3548256456851959 428.7325439453125 658.283203125 254.31155395507812 573.1172485351562 9 0.30300650000572205 414.3550720214844 670.0469360351562 263.88092041015625 580.9296264648438 ,test/0004.jpg
2 0.9281716346740723 349.5671691894531 787.3421630859375 234.65904235839844 694.9835815429688 ,test/0005.jpg
7 0.9787223935127258 288.8134460449219 413.1271057128906 4.794619083404541 175.63319396972656 0 0.9489656686782837 898.885009765625 1024.0 786.6358642578125 920.857421875 0 0.8629940152168274 190.23040771484375 276.05548095703125 544.9732055664062 714.611083984375 0 0.7791730165481567 600.2745971679688 704.3071899414062 0.019038084894418716 84.52513122558594 3 0.7778733372688293 0.0 70.27507019042969 58.766380310058594 217.04351806640625 0 0.6989827156066895 0.0 92.95148468017578 806.3611450195312 941.2900390625 5 0.6126015186309814 343.8133544921875 837.8524780273438 445.577880859375 727.8655395507812 9 0.48647230863571167 302.60107421875 376.3834228515625 666.1918334960938 745.404052734375 9 0.47192880511283875 0.6601904034614563 89.86568450927734 808.6632080078125 939.6813354492188 9 0.4367794692516327 192.34976196289062 303.2021789550781 546.115234375 724.111083984375 4 0.3996073603630066 338.7370910644531 832.9048461914062 452.33349609375 726.5083618164062 0 0.30833762884140015 498.68121337890625 534.4489135742188 0.0 46.38624572753906 ,test/0006.jpg
9 0.9730241894721985 550.7904663085938 898.83203125 480.253662109375 742.552001953125 9 0.9292201995849609 284.63323974609375 948.204833984375 111.48054504394531 744.1529541015625 9 0.876384437084198 296.0849304199219 441.0904541015625 514.9554443359375 679.8746948242188 0 0.6763781309127808 884.3656616210938 1024.0 901.581787109375 1020.6466064453125 0 0.6579346656799316 761.8114624023438 833.1513061523438 95.64509582519531 179.82688903808594 9 0.5362040996551514 648.0909423828125 973.7528076171875 136.18338012695312 582.0176391601562 1 0.5231731534004211 78.11741638183594 1024.0 105.95499420166016 946.4887084960938 9 0.4706132113933563 445.2437744140625 897.7406005859375 288.0959777832031 715.6831665039062 7 0.467678040266037 0.0 25.99933624267578 870.1353149414062 1022.9432373046875 1 0.4326535165309906 885.7791748046875 1021.0479736328125 896.6710815429688 1022.8934326171875 0 0.32666322588920593 340.5862121582031 1024.0 0.0 240.90647888183594 1 0.3215016722679138 990.1705322265625 1024.0 938.9711303710938 1017.1348876953125 ,test/0007.jpg
7 0.9921724796295166 162.44227600097656 472.78131103515625 507.9289855957031 960.466796875 7 0.9816785454750061 2.9938573837280273 190.77639770507812 603.2913208007812 889.4655151367188 1 0.9734665751457214 646.3063354492188 719.9688110351562 643.677978515625 762.6843872070312 7 0.9710124731063843 385.6095886230469 684.8413696289062 486.2283935546875 878.3004760742188 7 0.9649331569671631 540.2970581054688 708.788818359375 434.75115966796875 621.5564575195312 7 0.9635302424430847 0.0 269.9189147949219 359.5361328125 644.1215209960938 7 0.9497469663619995 353.35394287109375 476.3435363769531 502.80364990234375 685.1947631835938 7 0.8765666484832764 684.502197265625 801.603271484375 531.4483642578125 699.0748291015625 6 0.7684733271598816 779.7157592773438 976.4342041015625 284.5025329589844 600.4204711914062 7 0.6714860200881958 349.93560791015625 420.14569091796875 125.94813537597656 225.14358520507812 0 0.5932738184928894 103.54144287109375 173.21278381347656 904.6658325195312 973.2780151367188 7 0.5895566940307617 233.51158142089844 345.59710693359375 495.9852294921875 566.9053955078125 1 0.5340683460235596 100.63065338134766 171.76397705078125 906.0491943359375 971.4498291015625 1 0.49076277017593384 677.1367797851562 816.4892578125 463.0127258300781 627.8597412109375 7 0.41323551535606384 150.85516357421875 314.0134582519531 505.1371765136719 673.5009155273438 ,test/0008.jpg
2 0.7295911312103271 288.7839050292969 658.81201171875 125.0693359375 803.2589111328125 0 0.6433407068252563 260.7655334472656 676.2921142578125 95.3324203491211 978.9514770507812 1 0.4627832770347595 263.08203125 655.6251220703125 111.16027069091797 909.16015625 ,test/0009.jpg
